"ID_MUNICIPIO","MUNICIPIO","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"080","HUITZILAN DE SERDAN",1394,202,1506,1,193,3296,9721,42.29,6.13,45.69,0.03,5.86,33.91,66.09,"MIGUEL_BARBOSA",45.69,"3"
"081","HUITZILTEPEC",434,213,750,0,30,1427,4102,30.41,14.93,52.56,0,2.1,34.79,65.21,"MIGUEL_BARBOSA",52.56,"3"
"082","ATLEQUIZAYAN",10,21,573,0,18,622,1886,1.61,3.38,92.12,0,2.89,32.98,67.02,"MIGUEL_BARBOSA",92.12,"3"
"083","IXCAMILPA DE GUERRERO",293,52,534,0,15,894,3078,32.77,5.82,59.73,0,1.68,29.04,70.96,"MIGUEL_BARBOSA",59.73,"3"
"084","IXCAQUIXTLA",974,280,1304,0,64,2622,5997,37.15,10.68,49.73,0,2.44,43.72,56.28,"MIGUEL_BARBOSA",49.73,"3"
"085","IXTACAMAXTITLAN",3973,627,3199,3,346,8148,18057,48.76,7.7,39.26,0.04,4.25,45.12,54.88,"ALBERTO_JIMENEZ",48.76,"1"
"086","IXTEPEC",944,212,866,4,93,2119,4896,44.55,10,40.87,0.19,4.39,43.28,56.72,"ALBERTO_JIMENEZ",44.55,"1"
"087","IZUCAR DE MATAMOROS",1940,2864,10754,19,520,16097,58786,12.05,17.79,66.81,0.12,3.23,27.38,72.62,"MIGUEL_BARBOSA",66.81,"3"
"088","JALPAN",421,364,2308,112,118,3323,9217,12.67,10.95,69.46,3.37,3.55,36.05,63.95,"MIGUEL_BARBOSA",69.46,"3"
"089","JOLALPAN",458,196,3462,0,103,4219,9343,10.86,4.65,82.06,0,2.44,45.16,54.84,"MIGUEL_BARBOSA",82.06,"3"
"090","JONOTLA",628,124,921,1,59,1733,3470,36.24,7.16,53.14,0.06,3.4,49.94,50.06,"MIGUEL_BARBOSA",53.14,"3"
"091","JOPALA",264,799,1844,0,138,3045,9193,8.67,26.24,60.56,0,4.53,33.12,66.88,"MIGUEL_BARBOSA",60.56,"3"
"092","JUAN C. BONILLA",594,1654,1890,3,112,4253,17101,13.97,38.89,44.44,0.07,2.63,24.87,75.13,"MIGUEL_BARBOSA",44.44,"3"
"093","JUAN GALINDO",349,370,1100,1,72,1892,5892,18.45,19.56,58.14,0.05,3.81,32.11,67.89,"MIGUEL_BARBOSA",58.14,"3"
"094","JUAN N. MENDEZ",152,60,1144,0,34,1390,3896,10.94,4.32,82.3,0,2.45,35.68,64.32,"MIGUEL_BARBOSA",82.3,"3"
"095","LAFRAGUA",446,232,1091,0,31,1800,5752,24.78,12.89,60.61,0,1.72,31.29,68.71,"MIGUEL_BARBOSA",60.61,"3"
"096","LIBRES",1177,1247,5080,5,295,7804,23527,15.08,15.98,65.09,0.06,3.78,33.17,66.83,"MIGUEL_BARBOSA",65.09,"3"
"097","LA MAGDALENA TLATLAUQUITEPEC",37,33,128,0,3,201,479,18.41,16.42,63.68,0,1.49,41.96,58.04,"MIGUEL_BARBOSA",63.68,"3"
"098","MAZAPILTEPEC DE JUAREZ",620,378,557,0,42,1597,2154,38.82,23.67,34.88,0,2.63,74.14,25.86,"ALBERTO_JIMENEZ",38.82,"1"
"099","MIXTLA",159,109,329,1,25,623,1787,25.52,17.5,52.81,0.16,4.01,34.86,65.14,"MIGUEL_BARBOSA",52.81,"3"
"100","MOLCAXAC",357,173,1261,2,27,1820,4918,19.62,9.51,69.29,0.11,1.48,37.01,62.99,"MIGUEL_BARBOSA",69.29,"3"
"101","NAUPAN",1212,524,1800,4,192,3732,6774,32.48,14.04,48.23,0.11,5.14,55.09,44.91,"MIGUEL_BARBOSA",48.23,"3"
"102","NAUZONTLA",265,103,632,2,74,1076,2671,24.63,9.57,58.74,0.19,6.88,40.28,59.72,"MIGUEL_BARBOSA",58.74,"3"
"103","NEALTICAN",526,1244,1116,1,61,2948,8887,17.84,42.2,37.86,0.03,2.07,33.17,66.83,"ENRIQUE_CARDENAS",42.2,"2"
"104","NICOLAS BRAVO",391,172,574,0,23,1160,4731,33.71,14.83,49.48,0,1.98,24.52,75.48,"MIGUEL_BARBOSA",49.48,"3"
"105","NOPALUCAN",949,769,1544,1,95,3358,17747,28.26,22.9,45.98,0.03,2.83,18.92,81.08,"MIGUEL_BARBOSA",45.98,"3"
"106","OCOTEPEC",250,304,526,1,57,1138,3619,21.97,26.71,46.22,0.09,5.01,31.45,68.55,"MIGUEL_BARBOSA",46.22,"3"
"107","OCOYUCAN",4639,5650,3932,4,410,14635,25115,31.7,38.61,26.87,0.03,2.8,58.27,41.73,"ENRIQUE_CARDENAS",38.61,"2"
"108","OLINTLA",1131,923,2792,8,188,5042,8213,22.43,18.31,55.37,0.16,3.73,61.39,38.61,"MIGUEL_BARBOSA",55.37,"3"
"109","ORIENTAL",845,744,2189,3,164,3945,11849,21.42,18.86,55.49,0.08,4.16,33.29,66.71,"MIGUEL_BARBOSA",55.49,"3"
"110","PAHUATLAN",510,590,2917,23,194,4234,13861,12.05,13.93,68.89,0.54,4.58,30.55,69.45,"MIGUEL_BARBOSA",68.89,"3"
"111","PALMAR DE BRAVO",1940,2836,3473,23,331,8603,30093,22.55,32.97,40.37,0.27,3.85,28.59,71.41,"MIGUEL_BARBOSA",40.37,"3"
"112","PANTEPEC",434,979,4977,5,192,6587,14021,6.59,14.86,75.56,0.08,2.91,46.98,53.02,"MIGUEL_BARBOSA",75.56,"3"
"113","PETLALCINGO",426,484,955,2,66,1933,7091,22.04,25.04,49.41,0.1,3.41,27.26,72.74,"MIGUEL_BARBOSA",49.41,"3"
"114","PIAXTLA",256,108,533,0,13,910,4106,28.13,11.87,58.57,0,1.43,22.16,77.84,"MIGUEL_BARBOSA",58.57,"3"
"115","PUEBLA",51951,229017,161931,771,15698,459368,1299450,11.31,49.85,35.25,0.17,3.42,35.35,64.65,"ENRIQUE_CARDENAS",49.85,"2"
"116","QUECHOLAC",2268,2233,8979,5,503,13988,34379,16.21,15.96,64.19,0.04,3.6,40.69,59.31,"MIGUEL_BARBOSA",64.19,"3"
"117","QUIMIXTLAN",960,1121,1976,0,119,4176,13485,22.99,26.84,47.32,0,2.85,30.97,69.03,"MIGUEL_BARBOSA",47.32,"3"
"118","RAFAEL LARA GRAJALES",453,883,1530,1,146,3013,13464,15.03,29.31,50.78,0.03,4.85,22.38,77.62,"MIGUEL_BARBOSA",50.78,"3"
"119","LOS REYES DE JUAREZ",1432,1105,1767,0,134,4438,17486,32.27,24.9,39.82,0,3.02,25.38,74.62,"MIGUEL_BARBOSA",39.82,"3"
"120","SAN ANDRES CHOLULA",2557,23498,8690,16,764,35525,94615,7.2,66.14,24.46,0.05,2.15,37.55,62.45,"ENRIQUE_CARDENAS",66.14,"2"
"121","SAN ANTONIO CANADA",500,175,488,0,25,1188,3820,42.09,14.73,41.08,0,2.1,31.1,68.9,"ALBERTO_JIMENEZ",42.09,"1"
"122","SAN DIEGO LA MESA TOCHIMILTZINGO",106,37,429,0,12,584,913,18.15,6.34,73.46,0,2.05,63.96,36.04,"MIGUEL_BARBOSA",73.46,"3"
"123","SAN FELIPE TEOTLALCINGO",414,387,535,1,55,1392,7489,29.74,27.8,38.43,0.07,3.95,18.59,81.41,"MIGUEL_BARBOSA",38.43,"3"
"124","SAN FELIPE TEPATLAN",347,50,1243,0,82,1722,2858,20.15,2.9,72.18,0,4.76,60.25,39.75,"MIGUEL_BARBOSA",72.18,"3"
"125","SAN GABRIEL CHILAC",853,810,1990,1,89,3743,11178,22.79,21.64,53.17,0.03,2.38,33.49,66.51,"MIGUEL_BARBOSA",53.17,"3"
"126","SAN GREGORIO ATZOMPA",177,1538,435,2,54,2206,7108,8.02,69.72,19.72,0.09,2.45,31.04,68.96,"ENRIQUE_CARDENAS",69.72,"2"
"127","SAN JERONIMO TECUANIPAN",215,361,531,0,40,1147,4233,18.74,31.47,46.29,0,3.49,27.1,72.9,"MIGUEL_BARBOSA",46.29,"3"
"128","SAN JERONIMO XAYACATLAN",259,103,795,0,61,1218,3202,21.26,8.46,65.27,0,5.01,38.04,61.96,"MIGUEL_BARBOSA",65.27,"3"
"129","SAN JOSE CHIAPA",532,480,1117,1,66,2196,6551,24.23,21.86,50.87,0.05,3.01,33.52,66.48,"MIGUEL_BARBOSA",50.87,"3"
"130","SAN JOSE MIAHUATLAN",1082,539,2145,0,74,3840,9794,28.18,14.04,55.86,0,1.93,39.21,60.79,"MIGUEL_BARBOSA",55.86,"3"
"131","SAN JUAN ATENCO",147,257,501,0,30,935,2921,15.72,27.49,53.58,0,3.21,32.01,67.99,"MIGUEL_BARBOSA",53.58,"3"
"132","SAN JUAN ATZOMPA",81,44,204,0,2,331,778,24.47,13.29,61.63,0,0.6,42.54,57.46,"MIGUEL_BARBOSA",61.63,"3"
"133","SAN MARTIN TEXMELUCAN",3952,9679,10675,33,973,25312,111835,15.61,38.24,42.17,0.13,3.84,22.63,77.37,"MIGUEL_BARBOSA",42.17,"3"
"134","SAN MARTIN TOTOLTEPEC",55,30,154,0,7,246,612,22.36,12.2,62.6,0,2.85,40.2,59.8,"MIGUEL_BARBOSA",62.6,"3"
"135","SAN MATIAS TLALANCALECA",871,1308,1335,5,115,3634,15293,23.97,35.99,36.74,0.14,3.16,23.76,76.24,"MIGUEL_BARBOSA",36.74,"3"
"136","SAN MIGUEL IXITLAN",122,40,50,0,1,213,475,57.28,18.78,23.47,0,0.47,44.84,55.16,"ALBERTO_JIMENEZ",57.28,"1"
"137","SAN MIGUEL XOXTLA",433,1163,928,1,55,2580,8944,16.78,45.08,35.97,0.04,2.13,28.85,71.15,"ENRIQUE_CARDENAS",45.08,"2"
"138","SAN NICOLAS BUENOS AIRES",1205,332,1289,0,71,2897,7429,41.59,11.46,44.49,0,2.45,39,61,"MIGUEL_BARBOSA",44.49,"3"
"139","SAN NICOLAS DE LOS RANCHOS",445,418,1312,0,43,2218,8112,20.06,18.85,59.15,0,1.94,27.34,72.66,"MIGUEL_BARBOSA",59.15,"3"
"140","SAN PABLO ANICANO",198,58,664,0,18,938,2914,21.11,6.18,70.79,0,1.92,32.19,67.81,"MIGUEL_BARBOSA",70.79,"3"
"141","SAN PEDRO CHOLULA",3894,22363,11167,34,945,38403,104770,10.14,58.23,29.08,0.09,2.46,36.65,63.35,"ENRIQUE_CARDENAS",58.23,"2"
"142","SAN PEDRO YELOIXTLAHUACA",155,156,675,1,25,1012,2859,15.32,15.42,66.7,0.1,2.47,35.4,64.6,"MIGUEL_BARBOSA",66.7,"3"
"143","SAN SALVADOR EL SECO",1697,1829,2313,1,262,6102,20615,27.81,29.97,37.91,0.02,4.29,29.6,70.4,"MIGUEL_BARBOSA",37.91,"3"
"144","SAN SALVADOR EL VERDE",1244,1207,2383,3,162,4999,22671,24.88,24.14,47.67,0.06,3.24,22.05,77.95,"MIGUEL_BARBOSA",47.67,"3"
"145","SAN SALVADOR HUIXCOLOTLA",371,433,805,0,22,1631,9529,22.75,26.55,49.36,0,1.35,17.12,82.88,"MIGUEL_BARBOSA",49.36,"3"
"146","SANTA CATARINA TLALTEMPAN",131,38,216,0,10,395,744,33.16,9.62,54.68,0,2.53,53.09,46.91,"MIGUEL_BARBOSA",54.68,"3"
"147","SANTA INES AHUATEMPAN",1166,201,986,2,41,2396,4567,48.66,8.39,41.15,0.08,1.71,52.46,47.54,"ALBERTO_JIMENEZ",48.66,"1"
"148","SANTA ISABEL CHOLULA",298,495,864,0,50,1707,7815,17.46,29,50.62,0,2.93,21.84,78.16,"MIGUEL_BARBOSA",50.62,"3"
"149","SANTIAGO MIAHUATLAN",511,1320,2217,2,128,4178,17759,12.23,31.59,53.06,0.05,3.06,23.53,76.47,"MIGUEL_BARBOSA",53.06,"3"
"150","SANTO TOMAS HUEYOTLIPAN",224,447,914,0,34,1619,6215,13.84,27.61,56.45,0,2.1,26.05,73.95,"MIGUEL_BARBOSA",56.45,"3"
"151","SOLTEPEC",476,302,853,1,50,1682,8932,28.3,17.95,50.71,0.06,2.97,18.83,81.17,"MIGUEL_BARBOSA",50.71,"3"
"152","TECALI DE HERRERA",815,1214,1793,3,152,3977,15438,20.49,30.53,45.08,0.08,3.82,25.76,74.24,"MIGUEL_BARBOSA",45.08,"3"
"153","TECAMACHALCO",2400,4452,7047,6,367,14272,54585,16.82,31.19,49.38,0.04,2.57,26.15,73.85,"MIGUEL_BARBOSA",49.38,"3"
"154","TECOMATLAN",1050,79,333,0,28,1490,4788,70.47,5.3,22.35,0,1.88,31.12,68.88,"ALBERTO_JIMENEZ",70.47,"1"
"155","TEHUACAN",5934,18373,32603,43,1715,58668,220952,10.11,31.32,55.57,0.07,2.92,26.55,73.45,"MIGUEL_BARBOSA",55.57,"3"
"156","TEHUITZINGO",1216,221,1533,0,53,3023,9728,40.22,7.31,50.71,0,1.75,31.08,68.92,"MIGUEL_BARBOSA",50.71,"3"
"157","TENAMPULCO",901,232,1195,1,104,2433,5348,37.03,9.54,49.12,0.04,4.27,45.49,54.51,"MIGUEL_BARBOSA",49.12,"3"
"158","TEOPANTLAN",159,569,576,1,54,1359,3482,11.7,41.87,42.38,0.07,3.97,39.03,60.97,"MIGUEL_BARBOSA",42.38,"3"
"159","TEOTLALCO",211,65,752,0,34,1062,2548,19.87,6.12,70.81,0,3.2,41.68,58.32,"MIGUEL_BARBOSA",70.81,"3"
"160","TEPANCO DE LOPEZ",435,990,2361,1,96,3883,15470,11.2,25.5,60.8,0.03,2.47,25.1,74.9,"MIGUEL_BARBOSA",60.8,"3"
"161","TEPANGO DE RODRIGUEZ",300,151,768,0,78,1297,2913,23.13,11.64,59.21,0,6.01,44.52,55.48,"MIGUEL_BARBOSA",59.21,"3"
"162","TEPATLAXCO DE HIDALGO",586,1070,1111,3,53,2823,12026,20.76,37.9,39.36,0.11,1.88,23.47,76.53,"MIGUEL_BARBOSA",39.36,"3"
"163","TEPEACA",3207,4547,9820,11,595,18180,56128,17.64,25.01,54.02,0.06,3.27,32.39,67.61,"MIGUEL_BARBOSA",54.02,"3"
"164","TEPEMAXALCO",68,12,192,0,11,283,887,24.03,4.24,67.84,0,3.89,31.91,68.09,"MIGUEL_BARBOSA",67.84,"3"
