"SECCION","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"2550",82,101,145,0,6,334,1193,24.55,30.24,43.41,0,1.8,28,72,"MIGUEL_BARBOSA",43.41,"3"
"2551",52,136,147,1,15,351,911,14.81,38.75,41.88,0.28,4.27,38.53,61.47,"MIGUEL_BARBOSA",41.88,"3"
"2552",76,224,165,0,23,488,1298,15.57,45.9,33.81,0,4.71,37.6,62.4,"ENRIQUE_CARDENAS",45.9,"2"
"2553",56,160,154,0,18,388,1112,14.43,41.24,39.69,0,4.64,34.89,65.11,"ENRIQUE_CARDENAS",41.24,"2"
"2554",63,192,176,0,15,446,1252,14.13,43.05,39.46,0,3.36,35.62,64.38,"ENRIQUE_CARDENAS",43.05,"2"
"2555",70,164,159,0,15,408,1196,17.16,40.2,38.97,0,3.68,34.11,65.89,"ENRIQUE_CARDENAS",40.2,"2"
"2556",58,220,127,1,24,430,1213,13.49,51.16,29.53,0.23,5.58,35.45,64.55,"ENRIQUE_CARDENAS",51.16,"2"
"2557",27,181,84,0,5,297,1111,9.09,60.94,28.28,0,1.68,26.73,73.27,"ENRIQUE_CARDENAS",60.94,"2"
"2558",76,170,135,1,8,390,1168,19.49,43.59,34.62,0.26,2.05,33.39,66.61,"ENRIQUE_CARDENAS",43.59,"2"
"2559",39,147,101,0,5,292,807,13.36,50.34,34.59,0,1.71,36.18,63.82,"ENRIQUE_CARDENAS",50.34,"2"
"256",135,107,166,0,5,413,790,32.69,25.91,40.19,0,1.21,52.28,47.72,"MIGUEL_BARBOSA",40.19,"3"
"2560",45,213,185,0,14,457,1240,9.85,46.61,40.48,0,3.06,36.85,63.15,"ENRIQUE_CARDENAS",46.61,"2"
"2561",114,434,418,2,24,992,867,11.49,43.75,42.14,0.2,2.42,114.42,-14.42,"ENRIQUE_CARDENAS",43.75,"2"
"2562",37,311,192,1,18,559,1411,6.62,55.64,34.35,0.18,3.22,39.62,60.38,"ENRIQUE_CARDENAS",55.64,"2"
"2563",45,367,206,0,20,638,1394,7.05,57.52,32.29,0,3.13,45.77,54.23,"ENRIQUE_CARDENAS",57.52,"2"
"2564",38,311,179,0,17,545,1086,6.97,57.06,32.84,0,3.12,50.18,49.82,"ENRIQUE_CARDENAS",57.06,"2"
"2565",72,185,188,1,16,462,1484,15.58,40.04,40.69,0.22,3.46,31.13,68.87,"MIGUEL_BARBOSA",40.69,"3"
"2566",42,207,144,2,15,410,1120,10.24,50.49,35.12,0.49,3.66,36.61,63.39,"ENRIQUE_CARDENAS",50.49,"2"
"2567",27,183,141,1,9,361,1164,7.48,50.69,39.06,0.28,2.49,31.01,68.99,"ENRIQUE_CARDENAS",50.69,"2"
