ID_ESTADO,ESTADO,ID_DISTRITO,DISTRITO_FEDERAL,MUNICIPIO,SECCION
21,PUEBLA,1,1,197,2362
21,PUEBLA,1,1,197,2363
21,PUEBLA,1,1,197,2364
21,PUEBLA,1,1,197,2365
21,PUEBLA,1,1,197,2366
21,PUEBLA,1,1,197,2367
21,PUEBLA,1,1,197,2368
21,PUEBLA,1,1,197,2369
21,PUEBLA,1,1,197,2370
21,PUEBLA,1,1,197,2371
21,PUEBLA,1,1,197,2372
21,PUEBLA,1,1,197,2373
21,PUEBLA,1,1,197,2374
21,PUEBLA,1,1,197,2375
21,PUEBLA,1,1,197,2376
21,PUEBLA,1,1,197,2377
21,PUEBLA,1,1,197,2378
21,PUEBLA,1,1,197,2379
21,PUEBLA,1,1,197,2380
21,PUEBLA,1,1,197,2381
21,PUEBLA,1,1,197,2382
21,PUEBLA,1,1,197,2383
21,PUEBLA,1,1,197,2384
21,PUEBLA,1,1,197,2385
21,PUEBLA,1,1,197,2386
21,PUEBLA,1,1,197,2387
21,PUEBLA,1,1,197,2388
21,PUEBLA,1,1,197,2389
21,PUEBLA,1,1,197,2390
21,PUEBLA,1,2,14,113
21,PUEBLA,1,2,14,114
21,PUEBLA,1,2,14,115
21,PUEBLA,1,2,69,565
21,PUEBLA,1,2,69,566
21,PUEBLA,1,2,69,567
21,PUEBLA,1,2,69,568
21,PUEBLA,1,2,72,594
21,PUEBLA,1,2,72,595
21,PUEBLA,1,2,72,596
21,PUEBLA,1,2,72,597
21,PUEBLA,1,2,72,598
21,PUEBLA,1,2,72,599
21,PUEBLA,1,2,72,600
21,PUEBLA,1,2,72,601
21,PUEBLA,1,2,72,602
21,PUEBLA,1,2,72,603
21,PUEBLA,1,2,72,604
21,PUEBLA,1,2,72,605
21,PUEBLA,1,2,72,606
21,PUEBLA,1,2,72,607
21,PUEBLA,1,2,72,608
21,PUEBLA,1,2,72,609
21,PUEBLA,1,2,72,610
21,PUEBLA,1,2,72,611
21,PUEBLA,1,2,72,612
21,PUEBLA,1,2,72,613
21,PUEBLA,1,2,72,614
21,PUEBLA,1,2,72,615
21,PUEBLA,1,2,72,616
21,PUEBLA,1,2,72,617
21,PUEBLA,1,2,72,618
21,PUEBLA,1,2,72,619
21,PUEBLA,1,2,72,620
21,PUEBLA,1,2,72,621
21,PUEBLA,1,2,72,622
21,PUEBLA,1,2,72,623
21,PUEBLA,1,2,72,624
21,PUEBLA,1,2,72,625
21,PUEBLA,1,2,72,626
21,PUEBLA,1,2,72,627
21,PUEBLA,1,2,72,628
21,PUEBLA,1,2,72,629
21,PUEBLA,1,2,72,630
21,PUEBLA,1,2,91,779
21,PUEBLA,1,2,91,780
21,PUEBLA,1,2,91,781
21,PUEBLA,1,2,91,782
21,PUEBLA,1,2,91,783
21,PUEBLA,1,2,91,784
21,PUEBLA,1,2,91,785
21,PUEBLA,1,2,93,792
21,PUEBLA,1,2,93,793
21,PUEBLA,1,2,93,794
21,PUEBLA,1,2,93,795
21,PUEBLA,1,2,93,796
21,PUEBLA,1,2,124,1682
21,PUEBLA,1,2,124,1683
21,PUEBLA,1,2,124,1684
21,PUEBLA,1,2,183,2253
21,PUEBLA,1,2,183,2254
21,PUEBLA,1,2,183,2255
21,PUEBLA,1,2,183,2256
21,PUEBLA,1,2,183,2257
21,PUEBLA,1,2,183,2258
21,PUEBLA,1,2,183,2259
21,PUEBLA,1,2,183,2260
21,PUEBLA,1,2,183,2261
21,PUEBLA,1,2,184,2262
21,PUEBLA,1,2,184,2263
21,PUEBLA,1,2,184,2264
21,PUEBLA,1,2,184,2265
21,PUEBLA,1,2,184,2266
21,PUEBLA,1,2,213,2520
21,PUEBLA,1,2,213,2521
21,PUEBLA,1,2,213,2522
21,PUEBLA,1,2,213,2523
21,PUEBLA,1,2,213,2524
21,PUEBLA,1,2,213,2525
21,PUEBLA,1,2,213,2526
21,PUEBLA,2,2,6,64
21,PUEBLA,2,2,6,65
21,PUEBLA,2,2,6,66
21,PUEBLA,2,2,6,67
21,PUEBLA,2,2,6,68
21,PUEBLA,2,2,6,69
21,PUEBLA,2,2,6,70
21,PUEBLA,2,2,28,260
21,PUEBLA,2,2,28,261
21,PUEBLA,2,2,31,273
21,PUEBLA,2,2,50,423
21,PUEBLA,2,2,50,424
21,PUEBLA,2,2,50,425
21,PUEBLA,2,2,50,426
21,PUEBLA,2,2,50,427
21,PUEBLA,2,2,50,428
